index,naswot,time=[s],time_pure=[s]
13315,777.7312418619791,0.04598641395568848,0.04001045227050781
13316,788.7652180989584,0.04292154312133789,0.03704357147216797
13317,789.2137858072916,0.0432887077331543,0.03740334510803223
13318,777.4690958658854,0.047223567962646484,0.041068315505981445
13319,805.3921508789062,0.05533099174499512,0.04779934883117676
13320,728.2522176106771,0.0321807861328125,0.02776789665222168
13321,622.8034057617188,0.03371143341064453,0.029330015182495117
13322,709.3435668945312,0.02448248863220215,0.021336793899536133
13323,830.7386067708334,0.0764768123626709,0.06592154502868652
13324,-inf,0.022706985473632812,0.01981329917907715
13325,800.8902587890625,0.05568337440490723,0.048227548599243164
13326,818.5069783528646,0.06683945655822754,0.057813405990600586
13327,727.2049967447916,0.03170323371887207,0.02735757827758789
13328,757.7438151041666,0.033345699310302734,0.029001235961914062
13329,763.8186645507812,0.033698320388793945,0.029218196868896484
13330,780.0482177734375,0.04337620735168457,0.03752422332763672
13331,777.3027750651041,0.04683637619018555,0.040921688079833984
13332,598.8489379882812,0.02364969253540039,0.02068471908569336
13333,752.2683919270834,0.03424954414367676,0.029726028442382812
13334,598.6519775390625,0.01204371452331543,0.010590314865112305
13335,804.9399007161459,0.05425238609313965,0.04686331748962402
13336,819.5517985026041,0.06501245498657227,0.05609726905822754
13337,701.2540283203125,0.023305654525756836,0.020356178283691406
13338,752.9676920572916,0.034091949462890625,0.029665231704711914
13339,700.5428059895834,0.023151636123657227,0.020083904266357422
13340,752.7518717447916,0.033684492111206055,0.029224157333374023
13341,752.724853515625,0.03592634201049805,0.0314176082611084
13342,712.2305094401041,0.023959636688232422,0.02098822593688965
13343,798.5327555338541,0.05555391311645508,0.04798722267150879
13344,745.0458984375,0.032208919525146484,0.02779865264892578
13345,805.0810343424479,0.05664634704589844,0.04906892776489258
13346,727.2049967447916,0.03304266929626465,0.02870035171508789
13347,778.2255452473959,0.04521679878234863,0.03921794891357422
13348,700.5693155924479,0.022055387496948242,0.019197940826416016
13349,764.1631062825521,0.03266263008117676,0.028290987014770508
13350,700.2047526041666,0.022815227508544922,0.019879579544067383
13351,702.0042521158854,0.02436232566833496,0.0214536190032959
13352,760.0947672526041,0.03398871421813965,0.029615402221679688
13353,761.3515218098959,0.04395771026611328,0.03801774978637695
13354,805.0208333333334,0.05634808540344238,0.04875040054321289
13355,709.3435668945312,0.02395486831665039,0.020972490310668945
13356,795.2277628580729,0.05806469917297363,0.050520896911621094
13357,778.4696044921875,0.04418468475341797,0.03815960884094238
13358,712.2305094401041,0.023488998413085938,0.020570039749145508
13359,801.3925170898438,0.055475473403930664,0.04802131652832031
13360,764.1986897786459,0.031218767166137695,0.026800870895385742
13361,788.8844604492188,0.06639671325683594,0.05714011192321777
13362,804.6173299153646,0.05219769477844238,0.04472613334655762
13363,803.4123331705729,0.05436897277832031,0.046886444091796875
13364,816.8694051106771,0.0655217170715332,0.05629372596740723
13365,763.6440226236979,0.033121347427368164,0.02878260612487793
13366,802.2634073893229,0.0533297061920166,0.04586315155029297
13367,785.79296875,0.04403400421142578,0.03809499740600586
13368,779.9196573893229,0.04613852500915527,0.04016613960266113
13369,604.5670776367188,0.02314901351928711,0.020174741744995117
13370,779.3274739583334,0.04133296012878418,0.035436391830444336
13371,798.0073852539062,0.06086421012878418,0.053040266036987305
13372,756.8243001302084,0.03447461128234863,0.03001260757446289
13373,807.2038167317709,0.05369067192077637,0.046219587326049805
13374,785.2461751302084,0.04608559608459473,0.04003119468688965
13375,789.7362467447916,0.054363250732421875,0.04682302474975586
13376,784.7558186848959,0.0455012321472168,0.03954958915710449
13377,783.4823201497396,0.046770572662353516,0.0407567024230957
13378,721.0510660807291,0.023350000381469727,0.020357847213745117
13379,786.2953491210938,0.04464101791381836,0.03867816925048828
13380,714.4397583007812,0.023845195770263672,0.020887374877929688
13381,783.4149169921875,0.04700899124145508,0.04105973243713379
13382,817.3752237955729,0.06986236572265625,0.060694217681884766
13383,784.3931274414062,0.045334577560424805,0.039324283599853516
13384,763.8186645507812,0.033135414123535156,0.028707027435302734
13385,713.2447916666666,0.04313468933105469,0.03790640830993652
